Problem Name, Problem Link {http://community.topcoder.com/stat?c=problem_statement&pm=}, Contest Name, Contest Link = {http://community.topcoder.com/stat?c=round_overview&rd=}, tags, solvedCount
OneEntrance,13698,SRM 654,16318,[Brute Force],103
SquareScores,13694,SRM 654,16318,[Dynamic Programming],173
SquareScoresDiv2,13700,SRM 654,16318,[Brute Force],393
SuccessiveSubtraction2,13699,SRM 654,16318,[Brute Force],3
TwoEntrances,13692,SRM 654,16318,[Recursion, Simple Math],7
CountryGroup,13687,SRM 653,16317,[Brute Force, Simple Math],406
CountryGroupHard,13688,SRM 653,16317,[Dynamic Programming],219
RockPaperScissorsMagic,13683,SRM 653,16317,[Math, Simple Search, Iteration],19
RockPaperScissorsMagicEasy,13686,SRM 653,16317,[Simple Math, Simple Search, Iteration],224
Singing,13680,SRM 653,16317,[Graph Theory],102
SingingEasy,13685,SRM 653,16317,[Dynamic Programming],29
MaliciousPath,13596,SRM 652,16316,[Graph Theory],31
NoRightTurn,13640,SRM 652,16316,[Geometry, Search],0
NoRightTurnDiv2,13644,SRM 652,16316,[Brute Force, Geometry],10
ThePermutationGame,13229,SRM 652,16316,[Brute Force, Simple Math],395
ThePermutationGameDiv2,13679,SRM 652,16316,[Simple Math],276
ValueOfString,13678,SRM 652,16316,[Brute Force],566
LegendOfAdlez,13579,SRM 650,16314,[Dynamic Programming, Graph Theory],1
TaroFillingAStringDiv1,13669,SRM 650,16314,[Brute Force],285
TaroFillingAStringDiv2,13668,SRM 650,16314,[Brute Force],201
TaroJiroDividing,13672,SRM 650,16314,[Brute Force],291
TheKingsRoadsDiv1,13271,SRM 650,16314,[Brute Force],12
TheKingsRoadsDiv2,13667,SRM 650,16314,[Brute Force],7
CartInSupermarket,13370,SRM 649,16313,[Dynamic Programming],22
CartInSupermarketEasy,13659,SRM 649,16313,[Simple Math],51
Decipherability,13656,SRM 649,16313,[String Manipulation],453
DecipherabilityEasy,13658,SRM 649,16313,[Brute Force, String Manipulation],475
XorSequence,13249,SRM 649,16313,[Dynamic Programming, Math, Sorting],142
XorSequenceEasy,13657,SRM 649,16313,[Brute Force],18
AB,13642,SRM 648,16312,[Simple Math, String Manipulation],432
ABC,13645,SRM 648,16312,[Simple Math, String Manipulation],35
Fragile,13641,SRM 648,16312,[Dynamic Programming, Graph Theory],5
Fragile2,13648,SRM 648,16312,[Brute Force, Graph Theory],286
KitayutaMart,13649,SRM 648,16312,[Math, Search, Simple Search, Iteration],33
KitayutaMart2,13650,SRM 648,16312,[Simple Math, Simple Search, Iteration],634
BuildingTowers,13606,SRM 647,16279,[Dynamic Programming],2
BuildingTowersEasy,13634,SRM 647,16279,[Dynamic Programming],370
ConvenientBlock,13558,SRM 647,16279,[Graph Theory],2
CtuRobots,13595,SRM 647,16279,[Dynamic Programming, Greedy, Sorting],109
PeacefulLine,13632,SRM 647,16279,[Simple Math],483
TravellingSalesmanEasy,13631,SRM 647,16279,[Greedy],518
TheConsecutiveIntegersDivOne,13625,SRM 646,16278,[Simple Search, Iteration],240
TheConsecutiveIntegersDivTwo,13626,SRM 646,16278,[Simple Search, Iteration],331
TheFootballDivOne,13629,SRM 646,16278,[Search],2
TheFootballDivTwo,13630,SRM 646,16278,[Search],5
TheGridDivOne,13627,SRM 646,16278,[Geometry],43
TheGridDivTwo,13628,SRM 646,16278,[Geometry],85
AquaparkPuzzle,13347,SRM 645,16277,[Advanced Math, Dynamic Programming],6
ArmyTeleportation,13346,SRM 645,16277,[Geometry, Math],19
BacteriesColony,13604,SRM 645,16277,[Simulation],606
ConnectingCars,13602,SRM 645,16277,[Simple Search, Iteration],242
JanuszInTheCasino,13349,SRM 645,16277,[Math, Recursion],22
JanuszTheBusinessman,13603,SRM 645,16277,[Greedy],137
CasinoGame,13501,SRM 643,16086,[Math],0
TheKingsArmyDiv1,13526,SRM 643,16086,[Brute Force, Dynamic Programming, Greedy, Simple Search, Iteration],66
TheKingsArmyDiv2,13597,SRM 643,16086,[Brute Force],451
TheKingsFactorization,13594,SRM 643,16086,[Brute Force, Greedy, Math],39
TheKingsTree,12857,SRM 643,16086,[Brute Force, Dynamic Programming],9
ForgetfulAddition,13553,SRM 642,16085,[Brute Force],401
LightSwitchingPuzzle,13555,SRM 642,16085,[Brute Force, Simple Search, Iteration],274
TallShoes,13523,SRM 642,16085,[Graph Theory, Search],12
TaroCutting,13319,SRM 642,16085,[Brute Force, Recursion],23
WaitingForBus,13540,SRM 642,16085,[Math],268
WheelofFortune,13502,SRM 642,16085,[Dynamic Programming, Math],4
ChristmasTreeDecoration,13551,SRM 640,16083,[Graph Theory],365
ChristmasTreeDecorationDiv2,13556,SRM 640,16083,[Brute Force],534
MaximumBipartiteMatchingProblem,13446,SRM 640,16083,[Graph Theory],92
NumberGameAgain,13557,SRM 640,16083,[Simple Math],195
TwoNumberGroups,13525,SRM 640,16083,[Math],14
TwoNumberGroupsEasy,13552,SRM 640,16083,[Math],3
AliceGame,13490,SRM 639,16082,[Simple Math],138
AliceGameEasy,13524,SRM 639,16082,[Greedy],331
BoardFolding,13457,SRM 639,16082,[Brute Force, Dynamic Programming],83
BoardFoldingDiv2,13544,SRM 639,16082,[Brute Force, Dynamic Programming, Simple Search, Iteration],3
ElectronicPet,13365,SRM 639,16082,[Greedy],2
ElectronicPetEasy,13543,SRM 639,16082,[Brute Force],572
FrozenStandings,13460,TCO 2014 Finals,16190,[Dynamic Programming],0
LoopyPath,13350,TCO 2014 Finals,16190,[Graph Theory],5
MagicalRocketCar,13439,TCO 2014 Finals,16190,[Dynamic Programming, Greedy, Sorting],3
AndPicture,13514,TCO 2014 Wildcard,16189,[Simple Search, Iteration],6
AutomorphicTree,13515,TCO 2014 Semifinal 1,16187,[Brute Force, Graph Theory, Math],5
CarrotField,13476,TCO 2014 Semifinal 1,16187,[Geometry],2
CountTables,13444,TCO 2014 Wildcard,16189,[Dynamic Programming, Math],1
EnergyGameOnGrid,13539,TCO 2014 Wildcard,16189,[Graph Theory, Search],0
PlankTiling,13437,TCO 2014 Semifinal 2,16188,[Dynamic Programming, Simple Math],9
RoadsReform,13351,TCO 2014 Semifinal 2,16188,[Graph Theory],6
TwiceTwiceTree,13440,TCO 2014 Semifinal 2,16188,[Graph Theory, Math, Recursion],3
ZooExchangeProgram,13268,TCO 2014 Semifinal 1,16187,[Brute Force, Dynamic Programming, Simple Search, Iteration],9
AnEasyProblem,13527,TCO 2014 Celebrity Match,16191,[Simple Math],7
CityRebuild,13518,TCO 2014 Celebrity Match,16191,[Geometry, Graph Theory],0
ConcatenateNumbers,13517,TCO 2014 Celebrity Match,16191,[Math, Recursion],3
CandleTimer,13356,SRM 638,16081,[Graph Theory, Math],3
CandleTimerEasy,13519,SRM 638,16081,[Brute Force],2
NamingConvention,13521,SRM 638,16081,[String Manipulation],464
NarrowPassage2,13295,SRM 638,16081,[Math],79
NarrowPassage2Easy,13520,SRM 638,16081,[Brute Force],171
ShadowSculpture,13355,SRM 638,16081,[Brute Force, Simulation],55
ConnectingGame,13503,SRM 637,16080,[Graph Theory],2
ConnectingGameDiv2,13507,SRM 637,16080,[Graph Theory, Math, Simple Search, Iteration],8
GreaterGame,13504,SRM 637,16080,[Greedy, Math],464
GreaterGameDiv2,13505,SRM 637,16080,[Simple Search, Iteration],900
PathGame,13438,SRM 637,16080,[Dynamic Programming, Simple Math, Simple Search, Iteration],59
PathGameDiv2,13506,SRM 637,16080,[Graph Theory, Greedy, Simple Search, Iteration],405
ChocolateDividingEasy,13497,SRM 636,16079,[Brute Force, Simple Search, Iteration],433
ChocolateDividingHard,13388,SRM 636,16079,[Search],8
ClosestRabbit,13366,SRM 636,16079,[Graph Theory, Math],54
GameOfStones,13480,SRM 636,16079,[Greedy, Simple Search, Iteration],403
Sortish,13477,SRM 636,16079,[Search, Sorting],8
SortishDiv2,13500,SRM 636,16079,[Brute Force],275
ColourHolic,13407,SRM 635,16078,[Math],7
IdentifyingWood,13487,SRM 635,16078,[Brute Force, Simple Search, Iteration],702
LonglongestPathTree,13416,SRM 635,16078,[Brute Force, Graph Theory],26
QuadraticLaw,13486,SRM 635,16078,[Math, Search],429
SimilarRatingGraph,13485,SRM 635,16078,[Simple Math],155
StoryFromTCO,13412,SRM 635,16078,[Greedy],86
MountainRanges,13454,SRM 634,16077,[Brute Force],401
SegmentCutting,13418,SRM 634,16077,[Geometry, Search, Sorting],3
SegmentDrawing,13219,SRM 634,16077,[Geometry, Graph Theory],32
ShoppingSurveyDiv1,13455,SRM 634,16077,[Brute Force, Search],244
ShoppingSurveyDiv2,13458,SRM 634,16077,[Simulation],316
SpecialStrings,13233,SRM 634,16077,[Greedy, Search, String Manipulation],4
DoubleTree,13359,SRM 633,16076,[Graph Theory],16
GCDLCM,13360,SRM 633,16076,[Graph Theory],5
GCDLCMEasy,13470,SRM 633,16076,[Graph Theory],0
Jumping,13463,SRM 633,16076,[Geometry],125
PeriodicJumping,13234,SRM 633,16076,[Math],178
Target,13462,SRM 633,16076,[Simple Search, Iteration],778
CandyCupRunningCompetition,13323,SRM 632 - TCO14 Wildcard Sweep,16075,[Graph Theory, Greedy],117
GoodSubset,13396,SRM 632 - TCO14 Wildcard Sweep,16075,[Dynamic Programming, Simple Math],31
PatternLock,13352,SRM 632 - TCO14 Wildcard Sweep,16075,[Dynamic Programming],19
PotentialArithmeticSequence,13389,SRM 632 - TCO14 Wildcard Sweep,16075,[Brute Force, Simple Math],334
